경력,[채용] 본교 인재개발원 연구원 채용 공고 ,인재개발,연구원,채용,,,
경력,"[인재개발원/채용상담회] 한국경제인협회(구 전국경제인연합회) 채용상담회: 11.1.(수), ECC ",경제,채용,상담회,,,
경력,[채용] 산학협력단 직원 채용 공고 ,산학협력단,직원,채용,,,
학사,[글로벌소통교육실] 겨울계절학기 영어 말하기프로그램 Speaking Master Program_SMaP 등록 안내 ,겨울계절학기,영어,말하기프로그램,,,
일반,[언어교육원] 2023학년도 싱가포르 NTU 난양공대 위탁과정 언어교육원 한국어도우미 모집 ,싱가포르,언어교육,한국어도우미,,,
일반,[교육혁신센터] 2023 THE BEST 융합수업 운영사례 공유회(융합수업 운영사례 발표 및 전시) 안내 ,융합수업,운영사례,공유,,,
경력,[인재개발원] 2023학년도 겨울방학 현장실습 모집 안내 ,겨울방학,현장실습,모집,,,
학사,2023학년도 전기(2024년 2월) 졸업예정여부 조회 및 졸업의사 신청 관련 안내 ,졸업예정,의사,신청,,,
일반,국제학생증 ISIC 발급비 지원행사 안내 ,국제학생증,발급비,지원,,,
학사,2024학년도 전공변경 시행 안내 ,2024,전공변경,시행,,,
학사,2024학년도 전과 시행 안내 ,2024,전과,시행,,,
일반,[국제교류팀] 싱가포르 Singapore Management University 교환프로그램 설명회 ,싱가포르,교환,설명회,,,
일반,[대학건강센터] 11월 학생건강검사 시행안내 (11/6-11/9) ,11월,학생건강,검사,,,
일반,[연구윤리센터] 11월 연구윤리 특강 신청 안내 ,연구윤리,특강,신청,,,
장학,[학부] 2023학년도 2학기 이화플러스 장학금 신청 안내 ,이화플러스,장학금,신청,,,
일반,[다문화연구소] 상호문화학술대회-외국에서 바라보는 한국-상호문화교육적 관점에서 ,상호문화,학술대회,교육,,,
장학,[학부] 2024년도 방일영문화재단 장학생 선발 안내(북한이탈주민 대학생 지원) ,장학재단,북한주민,선발,,,
학사,[글로벌소통교육실] 겨울계절학기 영어 말하기프로그램 Speaking Master Program_SMaP 등록 안내 ,겨울계절,영어,말하기프로그램,,,
학사,[글로벌소통교육실] 겨울계절학기_고급영어글쓰기 등록 안내 ,겨울계절,영어글쓰기,등록,,,
일반,[인권센터] 인권센터X젠더교육플랫폼효재 ‘2023 폭력예방 특강’ 신청안내 ,인권,젠더,폭력예방,,,
경력,"[인재개발원](23-2) 진로디자인: 일 세계에서 나의 진로 찾기!(특강) 11.10.(금) 14:00, ECC ",진로디자인,진로찾기,특강,,,
장학,[학부] 2024년도 전기공사공제조합장학회 장학생 선발 안내 ,2024,장학회,장학생,,,
일반,[학생서비스센터] 잃어버린 물건을 확인하십시오(10/23~10/27) ,학생서비스센터,분실물,확인,,,
일반,[미래혁신센터] 대학혁신지원사업 재학생 인식조사 시행 안내 ,지원사업,재학생,인식조사,,,
일반,[채용] 사회과학대학 사회학과 사무실 계약직원 채용공고(~11/08) ,사회,사무실,계약직원,,,
학사,2024학년도 전공(학과)결정 시행안내 ,전공,학과,결정,,,
일반,"[출판문화원] 2024 이화플래너·이화달력 출시 기념, 팝업스토어! ",기념,달력,출시,,,
일반,[조교모집] 2023학년도 2학기 체육과학부 행정실 B급 조교 모집 ,체육과학부,행정실,조교,,,
학사,2023학년도 비사범대 교직과정 이수 신청 안내 ,비사범대,교직,이수,,,
일반,[모집] 2023년도 창업교육 혁신 선도대학(SCOUT) 대학생 스타트업 애널리스트 1기 모집 (~11/05) ,창업교육,스타트업,애널리스트,,,
일반,[공연문화연구센터] <2023 평화음악회(Hand in Hand at Seoul) > 대강당 공연 안내 11월 4일(토) 16:00 ,음악회,대강당,공연,,,
학사,[글로벌소통교육실] 겨울계절학기 고급영어글쓰기_EWIS 등록 안내 ,겨울계절,고급영어,글쓰기,,,
학사,"[고전읽기와글쓰기(11094)], [나눔리더십(11095)]의 대체 교과목 기수강자 중 2023학년도 겨울 계절학기 재수강 인정 신청 안내 ",겨울계절,재수강,인정,,,
일반,[기업가센터] 2023 겨울 계절학기 스타트업 인턴십 기업 모집(~11/3) ,겨울계절,스타트업,인턴십,기업,,
학사,[글로벌소통교육실] 겨울계절학기 영어 스피킹마스터프로그램(Speaking Master Program–SMaP) 등록 안내 ,겨울계절,영어,스피킹마스터,프로그램,,
경력,"[인재개발원/채용상담회] 한국경제인협회(구 전국경제인연합회) 채용상담회: 11.1.(수), ECC ",한국경제인협회,전국경제인연합회,채용상담회,,,
일반,[규칙공포 제2023-6호] 교원종합평가에 관한 세칙 중 개정 세칙 외 1건 공포 시행 ,교원종합평가,세칙,개정,,,
일반,[국제교류팀] 온라인 Global Intercultural Dialogue 참가 학생 모집(11월 25일(토) 활동)_모집연장 ,온라인,대화,참가,,,
일반,[변리사반]2023년 제60회 변리사시험 합격자를 찾습니다. ,제60회,변리사,합격자,,,
일반,[미래혁신센터] 도전학기제 17기 참여학생 모집(~11. 15.(수) 17:00) ,도전학기제,모집,11.15,,,
일반,[교육혁신센터] best of THE BEST 융합수업 찾기 ,best,융합수업,찾기,,,
일반,[채용] 이화여자대학교 아시아여성학센터 전임연구인력 채용 공고 ,아시아여성학,전임연구인력,채용,,,
일반,[교육안내] 연구자가 알아야 할 지식재산권의 이해 (사전수강신청기간 10.23(월)~10.31(화)) ,연구자,지식재산권,수강신청,,,
일반,[교육혁신센터] ★성공적인 팀플★을 위한 학습법 워크숍 운영 안내!! ,팀플,학습법,워크숍,,,
일반,[대학건강센터] 11월 피부과 1차 상담클리닉 안내 (11/3) ,11월,피부과,상담클리닉,,,
일반,[스크랜튼학부] 2024학년도 스크랜튼학부 진입생 설명회 개최 안내 ,2024,스크랜튼학부,진입생,,,
일반,[글로벌소통교육실] 2023-2학기 강사실 근무 B급 조교 모집 ,2학기,강사실,B급조교,,,
일반,[채용] 총장실(부총장 업무지원) 계약직원 모집 ,총장실,업무지원,계약직원,,,
학사,[글로벌소통교육실] 인문계열 및 예체능계열 대상 계절학기 필수교양영어 미개설 사전 안내 ,계절학기,필수교양영어,미개설,,,
일반,[이화인의 나눔가게] 랭앤루 '기부 새옷' 특판 안내 ,나눔가게,기부,옷,,,
일반,(연장) [채용] 연구윤리센터(동물실험윤리위원회(IACUC) 및 생물안전위원회(IBC)) 연구원 모집 공고 ,동물실험윤리위원회,생물안전위원회,연구자,,,
일반,[조교모집] 2023-2학기 교목실 B급 조교 모집(~10/25) ,2학기,교목실,B급조교,,,
입학,[입학] 2024학년도 전기 공연예술대학원(야간) 신입생 모집 안내(~10/26) ,2024,공연예술대학원,신입생,,,
일반,[통역번역대학원] 노벨문학상 수상작가 르클레지오 특별강연: 10/30(월) ,통역번역대학원,노벨문학상,특별강연,,,
경력,[채용]신산업융합대학(행정실) 계약직원 모집 ,신산업융합대학,행정실,계약직원,,,
일반,[학생서비스센터] 잃어버린 물건을 확인하십시오(10/16~10/20) ,학생서비스센터,분실물,확인,,,
입학,2024학년도 전기 외국어교육특수대학원 석사과정(야간/4학기제) 신입생 모집(~10/30) ,2024,외국어교육특수대학원,석사과정,,,
일반,[채용] 사회과학대학 사회학과 사무실 계약직원 채용공고(~11/08) ,사회과학대학,사무실,계약직원,,,
일반,[인권센터] 인권센터X젠더교육플랫폼효재 ‘2023 폭력예방 특강’에 초대합니다. (11/8) ,인권,젠더교육,폭력예방,,,
일반,국제학생증 ISIC 발급비 지원행사 안내 ,국제학생증,발급,지원,,,
학사,"[학사] 2023 겨울계절학기 필수 교양영어(College English, Advanced English) 수작업 수강신청 안내 ",겨울계절학기,필수교양영어,수강신청,,,
일반,[경영대학행정실] 이화 CPA Day 안내 (11/14.화.17시) ,경영대학,CPA,Day,,,
일반,[조교] 23-2학기 법학전문대학원 행정실 A급 조교 모집:~10.22(일) ,경영대학,공인회계사,안내,,,
장학,[학부] 2023학년도 2학기 전공리더십 장학금 신청 안내 ,2학기,전공,장학금,,,
